ContextType,ContextLabel,TargetModel,Dose,MeanPIER,StdPIER,NumEvalPoints,NumFitPoints,ContextRawSize
sentiment,sent_strong_negative_(p<=0.2),RoBERTa,0.0,0.038116008541270896,0.11441166543442571,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),RoBERTa,0.1,0.040268167596613426,0.1356883639549306,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),RoBERTa,0.2,0.07269908702314598,0.15167788797285528,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),RoBERTa,0.30000000000000004,0.09297525420793726,0.17639597523013523,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),RoBERTa,0.4,0.10406093689898882,0.1829258556739584,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),RoBERTa,0.5,0.1383228399344856,0.18614069217966694,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),RoBERTa,0.6000000000000001,0.12872908444614922,0.17640960224255536,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),RoBERTa,0.7000000000000001,0.1469159033050439,0.1533292431866345,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),RoBERTa,0.8,0.15882956978508841,0.137149009988523,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),RoBERTa,0.9,0.19250784424267361,0.14290909750556013,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),ALBERT,0.0,0.19946307877778524,0.1298262234405,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),ALBERT,0.1,0.2119636125872342,0.11227927114423421,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),ALBERT,0.2,0.23419877737971057,0.11135856386522366,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),ALBERT,0.30000000000000004,0.19506809165698719,0.11078472482090404,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),ALBERT,0.4,0.18179548656228456,0.0864234886976132,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),ALBERT,0.5,0.1605504411264433,0.08470550368455898,100,1000,406
