ContextType,ContextLabel,TargetModel,Dose,MeanDisagreement,StdDisagreement,NumPoints,ContextRawSize
negation,has_negation,DistilBERT,0.4,0.3275290776891687,0.11295262732628672,197,197
negation,has_negation,DistilBERT,0.5,0.3136842868894783,0.12235338574395843,197,197
negation,has_negation,DistilBERT,0.6000000000000001,0.3115922836888213,0.12630650705774962,197,197
negation,has_negation,DistilBERT,0.7000000000000001,0.33502156512388076,0.17443548337458453,197,197
negation,has_negation,DistilBERT,0.8,0.3875334482937862,0.204696499344821,197,197
negation,has_negation,DistilBERT,0.9,0.4876930703371196,0.1911159192726304,197,197
negation,has_negation,RoBERTa,0.0,0.16299870795456411,0.12746646251788207,197,197
negation,has_negation,RoBERTa,0.1,0.17652858806115712,0.12215744406710996,197,197
negation,has_negation,RoBERTa,0.2,0.19740433355882442,0.13844268959599199,197,197
negation,has_negation,RoBERTa,0.30000000000000004,0.27358685985049774,0.10521851982667448,197,197
negation,has_negation,RoBERTa,0.4,0.27981438945215387,0.1021855655456235,197,197
negation,has_negation,RoBERTa,0.5,0.2842266018897458,0.11548108954070543,197,197
negation,has_negation,RoBERTa,0.6000000000000001,0.27994241242989576,0.10814576371057817,197,197
negation,has_negation,RoBERTa,0.7000000000000001,0.28751899522101637,0.1132713831926518,197,197
negation,has_negation,RoBERTa,0.8,0.29185925443452276,0.10558221675974422,197,197
negation,has_negation,RoBERTa,0.9,0.3512762173795174,0.1147180367230942,197,197
negation,has_negation,ALBERT,0.0,0.173434622725494,0.14199323593021992,197,197
negation,has_negation,ALBERT,0.1,0.18646833001323362,0.13885530590269235,197,197
negation,has_negation,ALBERT,0.2,0.19931475955244363,0.12543144377649362,197,197
negation,has_negation,ALBERT,0.30000000000000004,0.3335419127569583,0.08048464972558654,197,197
negation,has_negation,ALBERT,0.4,0.3386812955960259,0.07180174065556627,197,197
negation,has_negation,ALBERT,0.5,0.32318937935367664,0.07982681110634315,197,197
negation,has_negation,ALBERT,0.6000000000000001,0.3217381942174563,0.07794025733817232,197,197
negation,has_negation,ALBERT,0.7000000000000001,0.301543554992428,0.09942338672242579,197,197
negation,has_negation,ALBERT,0.8,0.316836238193425,0.09293600250464593,197,197
negation,has_negation,ALBERT,0.9,0.3195418661654109,0.08097441428636841,197,197
negation,has_negation,XLNet,0.0,0.16497107885549256,0.13761364418344155,197,197
negation,has_negation,XLNet,0.1,0.17604585516945812,0.12708797153181772,197,197
negation,has_negation,XLNet,0.2,0.19227898384158992,0.12521795620507598,197,197
negation,has_negation,XLNet,0.30000000000000004,0.2662953169514699,0.10710731428409032,197,197
negation,has_negation,XLNet,0.4,0.2678344234923015,0.09113693057065754,197,197
negation,has_negation,XLNet,0.5,0.27474290039981264,0.10548359451193057,197,197
negation,has_negation,XLNet,0.6000000000000001,0.28031222162065617,0.10333405103128877,197,197
negation,has_negation,XLNet,0.7000000000000001,0.2718537209012137,0.1022137994762966,197,197
negation,has_negation,XLNet,0.8,0.2623255359730447,0.08762558655556273,197,197
negation,has_negation,XLNet,0.9,0.2796312208088862,0.07355339930753736,197,197
negation,no_negation,BERT,0.0,0.15054391398090958,0.11575123001142461,200,675
negation,no_negation,BERT,0.1,0.153742996859728,0.10459567189266945,200,675
negation,no_negation,BERT,0.2,0.1599566151543695,0.09148085021741283,200,675
negation,no_negation,BERT,0.30000000000000004,0.22789995749848457,0.08334730102371195,200,675
negation,no_negation,BERT,0.4,0.2639541906107843,0.0890689330345601,200,675
negation,no_negation,BERT,0.5,0.26928677582516686,0.09879332963920973,200,675
